Spp,commonName,scientificName
2978,Western Bearded Greenbul,Criniger barbatus
541,Placid Greenbul,Phyllastrephus placidus
1394,Speckle-breasted Woodpecker,Dendropicos poecilolaemus
2920,Petit's Saw-wing,Psalidoprocne [pristoptera] petiti
1558,Madagascan Pygmy Kingfisher,Corythornis madagascariensis
1738,Abyssinian Owl,Asio abyssinicus
1013,Lesser Frigatebird,Fregata ariel
1830,Nubian Nightjar,Caprimulgus nubicus
956,Forbes's Plover,Charadrius forbesi
1686,Sabine's Spinetail,Rhaphidura sabini
1794,Vermiculated Fishing Owl,Scotopelia bouvieri
2204,Spot-breasted Ibis,Bostrychia rara
2588,Fraser's Forest Flycatcher,Fraseria ocreata
2966,Yellow-lored Bristlebill,Bleda notatus
3028,Xavier's Greenbul,Phyllastrephus xavieri
3072,Gosling's Apalis,Apalis goslingi
1195,Yellow-throated Nicator,Nicator vireo
1108,White-tailed Alethe,Alethe diademata
1812,Brown Nightjar,Veles binotatus
2646,Ussher's Flycatcher,Muscicapa ussheri
2658,Finsch's Rufous Thrush,Stizorhina finschi
2774,Copper-tailed Starling,Hylopsar cupreocauda
3832,Red-fronted  Antpecker,Parmoptila rubrifrons
3884,Maxwell's Black Weaver,Ploceus albinucha
1370,Little Green Woodpecker,Campethera maculosa
3088,Sharpe's Apalis,Apalis sharpii
3644,Johanna's Sunbird,Cinnyris johannae
2390,Sabine's  Puffback,Dryoscopus sabini
3658,Pemba Sunbird,Cinnyris pembae
1786,Pemba Scops Owl,Otus pembaensis
1884,Pemba Green Pigeon,Treron pembaensis
1352,Spotted Honeyguide,Indicator maculatus
3470,Eurasian Skylark,Alauda arvensis
4004,European Goldfinch,Carduelis carduelis
2744,Song Thrush,Turdus philomelos
2128,Griffon  Vulture,Gyps fulvus
3008,Grey-crowned Tetraka,Xanthomixis cinereiceps
1087,Fraser's Rufous Thrush,Stizorhina fraseri
1356,Willcocks's Honeyguide,Indicator willcocksi
3570,Grey-headed Sunbird,Deleornis axillaris
1238,Nahan's Partridge,Ptilopachus nahani
2258,Green-breasted Pitta,Pitta reichenowi
1240,Handsome  Spurfowl,Pternistis nobilis
1706,Rwenzori Turaco,Gallirex johnstoni
2312,Rwenzori Batis,Batis diops
2568,Archer's Ground Robin,Cossypha archeri
2954,Olive-breasted  Greenbul,Arizelocichla kikuyuensis
3080,Mountain Masked  Apalis,Apalis personata
3378,Red-faced Woodland Warbler,Phylloscopus laetus
3614,Rwenzori Double-collared Sunbird,Cinnyris stuhlmanni
3664,Regal Sunbird,Cinnyris regius
3886,Strange Weaver,Ploceus alienus
1840,Ruwenzori Nightjar,Caprimulgus ruwenzorii
2260,Grauer's  Broadbill,Pseudocalyptomena graueri
3086,Rwenzori Apalis,Oreolais ruwenzorii
3172,Grauer's Warbler,Graueria vittata
3250,Grauer's Swamp  Warbler,Bradypterus graueri
3724,Dusky  Crimsonwing,Cryptospiza jacksoni
3164,Foxy Cisticola,Cisticola troglodytes
3866,Shelley's Rufous Sparrow,Passer shelleyi
3184,River Prinia,Prinia fluviatilis
2892,Red-chested Swallow,Hirundo lucida
1758,Fraser's Eagle-Owl,Bubo poensis
1566,Black-headed Bee-eater,Merops breweri
3076,Karamoja Apalis,Apalis karamojae
587,Thyolo Alethe,Chamaetylas choloensis
3232,Aquatic Warbler,Acrocephalus paludicola
2506,Perrin's Bushshrike,Telophorus viridis
2050,Caspian Gull,Larus cachinnans
1070,Malagasy Bulbul,Hypsipetes madagascariensis
1073,Souimanga Sunbird,Cinnyris sovimanga
1075,Malagasy White-eye,Zosterops maderaspatanus
1538,Pitta-like Ground Roller,Atelornis pittoides
1546,Cuckoo Roller,Leptosomus discolor
1600,Blue Coua,Coua caerulea
1612,Red-fronted Coua,Coua reynaudii
1630,Malagasy Coucal,Centropus toulou
1646,Lesser Vasa  Parrot,Coracopsis nigra
1648,Greater Vasa Parrot,Coracopsis vasa
1926,Madagascan Wood Rail,Mentocrex kioloides
1948,Brown Mesite,Mesitornis unicolor
2266,Common Sunbird-Asity,Neodrepanis coruscans
2270,Velvet Asity,Philepitta castanea
2304,White-headed Vanga,Artamella viridis
2332,Red-tailed Vanga,Calicalicus madagascariensis
2348,Madagascan  Cuckooshrike,Ceblepyris cinereus
2372,Blue Vanga,Cyanolanius madagascarinus
2376,Crested Drongo,Dicrurus forficatus
2492,Rufous Vanga,Schetba rufa
2514,Malagasy Paradise Flycatcher,Terpsiphone mutata
2520,Tylas Vanga,Tylas eduardi
2526,Pollen's Vanga,Xenopirostris polleni
2562,Madagascar Magpie-Robin,Copsychus albospecularis
3324,Stripe-throated Jery,Neomixis striatigula
3326,Common Jery,Neomixis tenella
3328,Green Jery,Neomixis viridis
3340,Madagascar Brush Warbler,Nesillas typica
3346,Common Newtonia,Newtonia brunneicauda
3782,Madagascan Mannikin,Lepidopygia nana
3818,Madagascan  Wagtail,Motacilla flaviventris
1072,White-throated Rail,Dryolimnas cuvieri
2160,Malagasy Kestrel,Falco newtoni
3230,Madagascan Swamp Warbler,Acrocephalus newtoni
1540,Short-legged Ground  Roller,Brachypteracias leptosomus
1542,Scaly Ground Roller,Geobiastes squamiger
1692,Madagascan Spinetail,Zoonavena grandidieri
1842,Madagascan Blue Pigeon,Alectroenas madagascariensis
2108,Madagascan Buzzard,Buteo brachypterus
2170,Madagascan Grebe,Tachybaptus pelzelnii
2208,Madagascan Ibis,Lophotibis cristata
2418,Nuthatch Vanga,Hypositta corallirostris
2444,Chabert Vanga,Leptopterus chabert
2830,Madagascan  Starling,Hartlaubius auratus
3320,Crossley's Vanga,Mystacornis crossleyi
3390,Rand's Warbler,Randia pseudozosterops
1554,Malagasy Kingfisher,Corythornis vintsioides
1788,Rainforest Scops Owl,Otus rutilus
1820,Collared Nightjar,Gactornis enarratus
1828,Madagascan Blue Nightjar,Caprimulgus madagascariensis
1942,Madagascan  Flufftail,Sarothrura insularis
2086,Madagascan  Sparrowhawk,Accipiter madagascariensis
2522,Hook-billed Vanga,Vanga curvirostris
3322,Wedge-tailed Jery,Hartertula flavoviridis
3342,Dark Newtonia,Newtonia amphichroa
3354,White-throated Oxylabes,Oxylabes madagascariensis
3764,Forest Fody,Foudia omissa
3924,Nelicourvi Weaver,Ploceus nelicourvi
1742,Madagascan Owl,Asio madagascariensis
2482,Ward's Flycatcher,Pseudobias wardi
2084,Henst's Goshawk,Accipiter henstii
1616,Red-breasted Coua,Coua serriana
14226,Western Olivaceous Warbler,Iduna opaca
2252,Balearic Shearwater,Puffinus mauretanicus
1678,Plain Swift,Apus unicolor
3066,Chapin's  Apalis,Apalis chapini
3598,Forest Double-collared Sunbird,Cinnyris fuelleborni
38,Common Diving  Petrel,Pelecanoides urinatrix
3410,Sardinian Warbler,Curruca melanocephala
3486,Greater Short-toed Lark,Calandrella brachydactyla
4064,Trumpeter Finch,Bucanetes githagineus
2622,Blue Rock  Thrush,Monticola solitarius
2884,Pale Crag Martin,Ptyonoprogne obsoleta
3310,Yellow Longbill,Macrosphenus flavicans
3678,Ursula's  Sunbird,Cinnyris ursulae
2234,Band-rumped Storm Petrel,Oceanodroma castro
1970,Spotted Sandgrouse,Pterocles senegallus
2760,Kivu Ground-thrush,Zoothera [piaggiae] tanganjicae
2872,White-winged Black Tit,Melaniparus leucomelas
3078,Black-capped Apalis,Apalis nigriceps
124,Mauritius Kestrel,Falco punctatus
324,Pink Pigeon,Nesoenas mayeri
1043,Mauritius  Cuckooshrike,Lalage typica
1662,Echo Parakeet,Psittacula eques
1048,Mauritius Fody,Foudia rubra
2990,Mauritius Bulbul,Hypsipetes olivaceus
3200,Mauritius Olive White-eye,Zosterops chloronothos
2310,West African Batis,Batis occulta
3154,Red-pate Cisticola,Cisticola ruficeps
3946,Weyns's Weaver,Ploceus weynsi
3986,Togo Paradise  Whydah,Vidua togoensis
3522,Foxy Lark,Calendulauda alopex
2898,Black-and-rufous Swallow,Hirundo nigrorufa
2922,Blue Saw-wing,Psalidoprocne [pristoptera] pristoptera
782,Chestnut-backed Sparrow-Weaver,Plocepasser rufoscapulatus
2022,Northern Lapwing,Vanellus vanellus
2220,Magellanic Penguin,Spheniscus magellanicus
3450,White-rumped Babbler,Turdoides leucopygia
3034,Somali Bulbul,Pycnonotus somaliensis
2462,Ethiopian Oriole,Oriolus monacha
2670,Desert Wheatear,Oenanthe deserti
2402,Black-necked Wattle-eye,Platysteira chalybea
3738,Anambra Waxbill,Estrilda poliopareia
1988,Jack Snipe,Lymnocryptes minimus
3844,Kordofa Sparrow,Passer cordofanicus
5256,Sharp-tailed Sandpiper,Calidris acuminata
3306,Common Grasshopper Warbler,Locustella naevia
1432,Red-faced Barbet,Lybius rubrifacies
640,Churring Cisticola,Cisticola njombe
469,Olive-flanked Ground Robin,Cossypha anomala
2718,Sharpe's Akalat,Sheppardia sharpei
931,European Herring Gull,Larus argentatus
1186,Great Tit,Parus major
1282,Gadwall,Mareca strepera
1858,Common Wood  Pigeon,Columba palumbus
1930,Eurasian Coot,Fulica atra
2358,Carrion Crow,Corvus corone
2468,Eurasian Magpie,Pica pica
2742,Common  Blackbird,Turdus merula
2416,Eurasian Jay,Garrulus glandarius
2580,European Robin,Erithacus rubecula
2846,Eurasian  Wren,Troglodytes troglodytes
2582,Red-breasted Flycatcher,Ficedula parva
2984,Yellow-bearded Greenbul,Criniger olivaceus
1102,Budgerigar,Melopsittacus undulatus
6851,Little Penguin,Eudyptula minor
1324,Common  Scoter,Melanitta nigra
2356,Hooded Crow,Corvus cornix
2364,Rook,Corvus frugilegus
2366,Western Jackdaw,Coloeus monedula
3864,Eurasian Tree Sparrow,Passer montanus
2904,Eurasian Crag  Martin,Ptyonoprogne rupestris
1854,Stock Dove,Columba oenas
1870,Eurasian Collared Dove,Streptopelia decaocto
4048,Striolated Bunting,Emberiza striolata
2696,Black Redstart,Phoenicurus ochruros
2746,Fieldfare,Turdus pilaris
2066,Mediterranean Gull,Ichthyaetus melanocephalus
1252,Finsch's Francolin,Scleroptila finschi
2602,Angolan Slaty Flycatcher,Melaenornis brunneus
3530,Angolan  Lark,Mirafra angolensis
3612,Ludwig's Double-collared  Sunbird,Cinnyris ludovicensis
1180,Falkenstein's Greenbul,Chlorocichla falkensteini
1182,Forest Scrub Robin,Cercotrichas leucosticta
1248,Swierstra's Spurfowl,Pternistis swierstrai
5892,Angolan Waxbill,Coccopygia bocagei
1624,Gabon Coucal,Centropus anselli
3820,White-collared Oliveback,Nesocharis ansorgei
1228,Grey-striped  Spurfowl,Pternistis griseostriatus
2572,White-headed Robin-Chat,Cossypha heinrichi
1184,Gabela Akalat,Sheppardia gabela
2322,Angolan Batis,Batis minulla
2422,Gabela Bushshrike,Laniarius amboimensis
3316,Pulitzer's Longbill,Macrosphenus pulitzeri
3010,Pale-olive Greenbul,Phyllastrephus fulviventris
3758,Dusky Twinspot,Euschistospiza cinereovinacea
4030,Yellowhammer,Emberiza citrinella
1312,Common Goldeneye,Bucephala clangula
1398,Syrian Woodpecker,Dendrocopos syriacus
4002,Common  Linnet,Linaria cannabina
4044,Reed Bunting,Emberiza schoeniclus
4112,European Serin,Serinus serinus
1378,Great Spotted Woodpecker,Dendrocopos major
2130,White-tailed Eagle,Haliaeetus albicilla
2354,Northern Raven,Corvus corax
1326,Smew,Mergellus albellus
2082,Northern Goshawk,Accipiter gentilis
2754,Mistle Thrush,Turdus viscivorus
1318,Whooper Swan,Cygnus cygnus
2068,Little Gull,Hydrocoloeus minutus
2168,Red-necked Grebe,Podiceps grisegena
2880,Eurasian Penduline Tit,Remiz pendulinus
1922,Common Crane,Grus grus
4006,European Greenfinch,Chloris chloris
4014,Common Rosefinch,Carpodacus erythrinus
1380,Lesser Spotted Woodpecker,Dryobates minor
2934,Common Firecrest,Regulus ignicapilla
3048,Uluguru Greenbul,Arizelocichla neumanni
3352,Long-billed Forest Warbler,Artisornis moreaui
3586,Uluguru Violet-backed Sunbird,Anthreptes neglectus
3594,Banded Green  Sunbird,Anthreptes rubritorques
3956,Crimson Seedcracker,Pyrenestes sanguineus
1304,Ferruginous Duck,Aythya nyroca
3182,Black-faced Prinia,Prinia melanops
1350,Thick-billed Honeyguide,Indicator conirostris
2452,Lagden's Bushshrike,Malaconotus lagdeni
2542,Red-throated Alethe,Chamaetylas poliophrys
2766,Oberl\u00e4nder's Ground Thrush,Geokichla oberlaenderi
3274,Neumann's Warbler,Urosphena neumanni
2314,Ituri Batis,Batis ituriensis
3464,Dusky Babbler,Turdoides tenebrosa
1212,Latham's Francolin,Peliperdix lathami
1520,Black-billed Wood Hoopoe,Phoeniculus granti
1562,White-throated Kingfisher,Halcyon smyrnensis
1552,Common Kingfisher,Alcedo atthis
4186,Baya Weaver,Ploceus philippinus
2210,Eurasian Spoonbill,Platalea leucorodia
2454,Monteiro's Bushshrike,Malaconotus monteiri
1914,Great Bustard,Otis tarda
1916,Little Bustard,Tetrax tetrax
3854,Spanish Sparrow,Passer hispaniolensis
4054,Corn Bunting,Emberiza calandra
2864,Eurasian Blue Tit,Cyanistes caeruleus
2844,Short-toed Treecreeper,Certhia brachydactyla
2862,Coal Tit,Periparus ater
2426,Braun's Bushshrike,Laniarius brauni
3260,Salvadori's Eremomela,Eremomela salvadorii
3624,Bocage's Sunbird,Nectarinia bocagii
2586,White-browed Forest Flycatcher,Fraseria cinerascens
3708,Richard's Pipit,Anthus richardi
1328,Common Merganser,Mergus merganser
891,Chestnut-headed Flufftail,Sarothrura lugens
1088,Bannerman's Sunbird,Cyanomitra bannermani
3790,Grimwood's Longclaw,Macronyx grimwoodi
3386,Spotted Thrush-Babbler,Illadopsis turdina
3366,Western Bonelli's Warbler,Phylloscopus bonelli
2024,Cream-colored Courser,Cursorius cursor
3406,Western Orphean Warbler,Curruca hortensis
3476,Desert Lark,Ammomanes deserti
20004,Hybrid Lovebird,Agapornis hybrid
1836,Star-spotted Nightjar,Caprimulgus stellatus
1544,Long-tailed Ground  Roller,Uratelornis chimaera
1604,Crested Coua,Coua cristata
1634,Grey-headed Lovebird,Agapornis canus
1952,Subdesert Mesite,Monias benschi
2142,Madagascan  Harrier-Hawk,Polyboroides radiatus
2186,Humblot's Heron,Ardea humbloti
2528,Lafresnaye's Vanga,Xenopirostris xenopirostris
3344,Archbold's Newtonia,Newtonia archboldi
3438,Thamnornis Warbler,Thamnornis chloropetoides
3544,Madagascan Lark,Eremopterix hova
3932,Sakalava Weaver,Ploceus sakalava
1348,Madagascan  Buttonquail,Turnix nigricollis
1670,Malagasy Black Swift,Apus balstoni
2620,Forest Rock  Thrush,Monticola sharpei
2936,Goldcrest,Regulus regulus
4078,Kipengere  Seedeater,Crithagra melanochroa
1982,Madagascan  Snipe,Gallinago macrodactyla
3120,Madagascan Cisticola,Cisticola cherina
1536,Rufous-headed Ground  Roller,Atelornis crossleyi
2412,Helmet Vanga,Euryceros prevostii
1938,Madagascan  Rail,Rallus madagascariensis
1882,Madagascar Green Pigeon,Treron australis
2080,Frances's Sparrowhawk,Accipiter francesiae
1802,Albertine Owlet,Glaucidium albertinum
3908,Yellow-capped Weaver,Ploceus dorsomaculatus
2838,Spotless Starling,Sturnus unicolor
2458,Bernier's Vanga,Oriolia bernieri
1606,Running Coua,Coua cursor
2414,Sickle-billed Vanga,Falculea palliata
3338,Subdesert Brush Warbler,Nesillas lantzii
1614,Red-capped Coua,Coua ruficeps
1618,Verreaux's Coua,Coua verreauxi
2334,Red-shouldered Vanga,Calicalicus rufocarpalis
1610,Giant Coua,Coua gigas
1672,Bates's Swift,Apus batesi
3286,Violet-backed Hyliota,Hyliota violacea
2964,Green-tailed Bristlebill,Bleda eximius
3294,Rufous-winged Illadopsis,Illadopsis rufescens
2196,White-crested Tiger Heron,Tigriornis leucolopha
2534,White-necked Rockfowl,Picathartes gymnocephalus
3068,White-winged Apalis,Apalis chariessa
1382,Melancholy Woodpecker,Dendropicos lugubris
2134,Bonelli's Eagle,Aquila fasciata
1478,Brown-cheeked Hornbill,Bycanistes cylindricus
2328,Fernando Po Batis,Batis poensis
1232,Heuglin's Spurfowl,Pternistis icterorhynchus
1134,Principe Starling,Lamprotornis ornatus
302,White  Tern,Gygis alba
1082,Seychelles Kestrel,Falco araeus
1174,Seychelles Blue Pigeon,Alectroenas pulcherrimus
1177,Seychelles Sunbird,Cinnyris dussumieri
1680,Seychelles Swiftlet,Aerodramus elaphrus
2988,Seychelles Bulbul,Hypsipetes crassirostris
3208,Seychelles White-eye,Zosterops modestus
1778,Seychelles Scops Owl,Otus insularis
1175,Seychelles Magpie-Robin,Copsychus sechellarum
1176,Seychelles Warbler,Acrocephalus sechellensis
1178,Seychelles Fody,Foudia sechellarum
3234,Rodrigues Warbler,Acrocephalus rodericanus
3762,Rodrigues Fody,Foudia flavicans
1069,Comoros Fody,Foudia eminentissima
1784,Karthala Scops Owl,Otus pauliani
1844,Comoros Blue  Pigeon,Alectroenas sganzini
1862,Comoros Olive Pigeon,Columba pollenii
2590,Humblot's Flycatcher,Humblotia flavirostris
2738,Comoros Thrush,Turdus bewsheri
2992,Grand Comoro Bulbul,Hypsipetes parvirostris
3332,Grand Comoro Brush  Warbler,Nesillas brevicaudata
3642,Humblot's Sunbird,Cinnyris humbloti
2854,Sennar Penduline Tit,Anthoscopus punctifrons
37,White-bellied Storm-petrel,Fregetta grallaria
1974,Spotted Sandpiper,Actitis macularius
2218,Magnificent Frigatebird,Fregata magnificens
2046,Laughing Gull,Leucophaeus atricilla
4052,Red Crossbill,Loxia curvirostra
1270,American Wigeon,Mareca americana
2296,Masked Shrike,Lanius nubicus
963,Red-throated Cliff  Swallow,Petrochelidon rufigula
3794,Gola Malimbe,Malimbus ballmanni
14210,Black-chested (Hybrid flavicens/maculosa) Prinia,Prinia flavicans/maculosa
1848,White-collared Pigeon,Columba albitorques
2200,Wattled Ibis,Bostrychia carunculata
2874,White-backed Black Tit,Melaniparus leuconotus
4116,Brown-rumped Seedeater,Crithagra tristriata
1097,Black-capped Speirops,Zosterops lugubris
1137,Newton's Sunbird,Anabathmis newtonii
1156,Sao Tome Prinia,Prinia molleri
1164,Sao Tome Paradise Flycatcher,Terpsiphone atrochalybeia
1694,Sao Tome Spinetail,Zoonavena thomensis
1852,Island Bronze-naped Pigeon,Columba malherbii
1160,Principe Seedeater,Crithagra rufobrunnea
1166,Sao Tom\u00e9 Weaver,Ploceus sanctithomae
1167,Sao Tome Thrush,Turdus olivaceofuscus
7865,Black  Boubou,Laniarius nigerrimus
1674,Forbes-Watson's Swift,Apus berliozi
2712,Lowland Akalat,Sheppardia cyornithopsis
3948,Alpine Accentor,Prunella collaris
3648,Loveridge's Sunbird,Cinnyris loveridgei
3490,Beesley's Lark,Chersomanes beesleyi
3602,Reichenbach's Sunbird,Anabathmis reichenbachii
3938,Loango Weaver,Ploceus subpersonatus
1894,Arabian Bustard,Ardeotis arabs
2644,Tessmann's Flycatcher,Muscicapa tessmanni
14000,Marsh Tchagra,Bocagia minuta
1456,Yellow-breasted Barbet,Trachyphonus margaritatus
2120,Hen Harrier,Circus cyaneus
2254,Yelkouan  Shearwater,Puffinus yelkouan
2538,White-throated Dipper,Cinclus cinclus
2752,Ring Ouzel,Turdus torquatus
2842,Wallcreeper,Tichodroma muraria
3714,Water Pipit,Anthus spinoletta
3950,Hedge Accentor,Prunella modularis
4050,Brambling Brambling,Fringilla montifringilla
4062,Eurasian Bullfinch,Pyrrhula pyrrhula
4110,Fire (Red)-fronted Serin,Serinus pusillus
2094,Golden Eagle,Aquila chrysaetos
2486,Alpine Chough,Pyrrhocorax graculus
1302,Greater Scaup,Aythya marila
2090,Cinereous  Vulture,Aegypius monachus
3414,Menetries's Warbler,Curruca mystacea
3488,Mediterranean Short-toed  Lark,Alaudala rufescens
3872,Rock Sparrow,Petronia petronia
4032,Ortolan Bunting,Emberiza hortulana
1936,Water Rail,Rallus aquaticus
2044,Armenian Gull,Larus armenicus
2584,Semicollared Flycatcher,Ficedula semitorquata
3252,Cetti's Warbler,Cettia cetti
2442,Turati's Boubou,Laniarius turatii
14193,Ethiopian Boubou,laniarius aethiopicus
1025,Red Kite,Milvus milvus
1314,Blue-winged Goose,Cyanochen cyanoptera
1644,Black-winged Lovebird,Agapornis taranta
1940,Rouget's Rail,Rougetius rougetii
1746,Little Owl,Athene noctua
3518,Calandra Lark,Melanocorypha calandra
3126,Dambo  Cisticola,Cisticola dambo
1354,Dwarf Honeyguide,Indicator pumilio
669,Abyssinian Slaty Flycatcher,Melaenornis chocolatinus
1434,Banded Barbet,Lybius undatus
1222,Chestnut-naped Spurfowl,Pternistis castaneicollis
1654,Yellow-fronted Parrot,Poicephalus flavifrons
1722,White-cheeked Turaco,Menelikornis leucotis
3140,Ethiopian Cisticola,Cisticola lugubris
3788,Abyssinian Longclaw,Macronyx flavicollis
1984,Pin-tailed  Snipe,Gallinago stenura
4100,Yellow-throated Seedeater,Crithagra flavigula
2808,White-billed Starling,Onychognathus albirostris
1358,Lyre-tailed Honeyguide,Melichneutes robustus
1266,Plumed Guineafowl,Guttera plumifera
2480,Rufous-bellied Helmetshrike,Prionops rufiventris
2510,Bate's Paradise Flycatcher,Terpsiphone batesi
2666,Red-breasted Wheatear,Oenanthe bottae
3480,Erlanger's Lark,Calandrella erlangeri
4108,Abyssinian (Black-headed) Siskin,Serinus nigriceps
2098,Madagascan  Cuckoo-Hawk,Aviceda madagascariensis
2126,Madagascan Serpent Eagle,Eutriorchis astur
1300,Madagascan  Pochard,Aythya innotata
1736,Red  Owl,Tyto soumagnei
3238,Grey Emutail,Bradypterus seebohmi
3258,Brown  Emutail,Bradypterus brunneus
1946,Slender-billed Flufftail,Sarothrura watersi
811,Tanzania Masked  Weaver,Ploceus reichardi
3404,Tristram's Warbler,Curruca deserticola
2688,Somali Wheatear,Oenanthe phillipsi
2654,R\u00fcppell's Black Chat,Myrmecocichla melaena
2730,White-winged Cliff Chat,Monticola semirufus
1564,Collared Kingfisher,Todiramphus chloris
3236,Clamorous Reed Warbler,Acrocephalus stentoreus
2548,Blackstart,Oenanthe melanura
1320,Marbled Duck,Marmaronetta angustirostris
3418,R\u00fcppell's Warbler,Curruca ruppeli
3868,Desert Sparrow,Passer simplex
1602,Coquerel's Coua,Coua coquereli
2164,Banded Kestrel,Falco zoniventris
1208,Madagascan Partridge,Margaroperdix madagarensis
3254,Madagascan Yellowbrow,Crossleyia xanthophrys
3256,Cryptic Warbler,Cryptosylvicola randrianasoloi
987,King Penguin,Aptenodytes patagonicus
3408,Arabian  Warbler,Curruca leucomelaena
3542,Gillett's Lark,Mirafra gilletti
2536,Grey-necked  Rockfowl,Picathartes oreas
3054,Kungwe Apalis,Apalis argentea
798,Bertrand's Weaver,Ploceus bertrandi
2306,Malawi Batis,Batis dimorpha
13623,Southern Mountain Greenbul,Arizelocichla fusciceps
1020,Merlin,Falco columbarius
2054,Ring-billed Gull,Larus delawarensis
2056,Glaucous-winged Gull,Larus glaucescens
2598,Bluethroat,Luscinia svecica
1083,Brown Shrike,Lanius cristatus
2140,Crested Honey Buzzard,Pernis ptilorhynchus
2194,Yellow Bittern,Ixobrychus sinensis
3392,Hume's Whitethroat,Curruca althaea
3622,Bates's Sunbird,Cinnyris batesi
1262,White-breasted Guineafowl,Agelastes meleagrides
2632,Little Grey Flycatcher,Muscicapa epulata
2848,Forest Penduline Tit,Anthoscopus flavifrons
1932,Nkulengu Rail,Himantornis haematopus
2018,Brown-chested Lapwing,Vanellus superciliosus
1032,Red Avadavat,Amandava amandava
2704,Siberian Stonechat,Saxicola maurus
1057,Rosy Pipit,Anthus roseatus
693,Long-billed Pipit,Anthus similis
2782,Miombo Blue-eared Starling,Lamprotornis elisabeth
2668,Cyprus Wheatear,Oenanthe cypriaca
3478,Blanford's Lark,Calandrella blanfordi
1908,Little Brown Bustard,Eupodotis humilis
2256,Chatham Albatross,Thalassarche eremita
10702,Cory's Shearwater,Calonectris borealis
9638,Great Cormorant,Phalacrocorax carbo
7878,Red-tailed Shrike,Lanius phoenicuroides
3600,Usambara Double-collared Sunbird,Cinnyris usambaricus
4008,Common Redpoll,Acanthis flammea
10011,Unidentified Heron,N/A N/A
2282,Great Grey Shrike,Lanius excubitor
2678,Black Wheatear,Oenanthe leucura
2684,Red-rumped Wheatear,Oenanthe moesta
2694,Moussier's Redstart,Phoenicurus moussieri
1964,Black-bellied Sandgrouse,Pterocles orientalis
9430,Rosy Starling,Pastor roseus
645,Black-backed Cisticola,Cisticola galactotes
10958,Gosling's Bunting,Emberiza goslingi
2308,Reichenow's Batis,Batis reichenowi
4189,Timneh Parrot,Psittacus timneh
425,Northern Red-billed Hornbill,Tockus erythrorhynchus
13163,Black-headed Waxbill,Estrilda atricapilla
2470,Banded Wattle-eye,Platysteira laticincta
3890,Golden-naped Weaver,Ploceus aureonucha
3654,Palestine  Sunbird,Cinnyris osea
3808,Rachel's Malimbe,Malimbus racheliae
1194,Yellow-throated  Leafbird,Chloropsis palawanensis
13630,Western Black-headed Batis,Batis erlangeri
1362,Zenker's Honeyguide,Melignomon zenkeri
1846,White-naped Pigeon,Columba albinucha
3970,Grant's Bluebill,Spermophaga poliogenys
3064,Lowland Masked Apalis,Apalis binotata
1081,Salvin's Albatross,Thalassarche salvini
4193,Hartert's Camaroptera,Camaroptera harterti
2810,Somali Starling,Onychognathus blythii
3850,Parrot-billed Sparrow,Passer gongonensis
1956,Crowned Sandgrouse,Pterocles coronatus
1748,Pharaoh Eagle-Owl,Bubo ascalaphus
2316,Margaret's Batis,Batis margaritae
10988,Kilombero Cisticola,Cisticola bakerorum
3178,Sierra Leone  Prinia,Schistolais leontica
14237,Upper Guinea Bulbul,Pycnonotus barbatus
13629,Hybrid Drakensberg/Karoo Prinia,Prinia hypoxantha x maculosa
878,Salvin's Prion,Pachyptila salvini
1138,Sao Tome Grosbeak,Crithagra concolor
18,Atlantic Petrel,Pterodroma incerta
3960,Lineated Pytilia,Pytilia lineata
2770,Grey Ground Thrush,Geokichla princei
2154,Saker Falcon,Falco cherrug
3936,Fox's Weaver,Ploceus spekeoides
10078,Hybrid Cut-throat/Red-headed Finch,Amadina fasciata/erythrocephala
2748,Usambara Thrush,Turdus roehli
3284,Usambara  Hyliota,Hyliota usambara
3318,Spot-throat,Modulatrix stictigula
3350,Red-capped Forest Warbler,Artisornis metopias
3926,Usambara  Weaver,Ploceus nicolli
2396,White-fronted Wattle-eye,Platysteira albifrons
3756,Montane  Widowbird,Euplectes psammacromius
2064,Great Black-backed Gull,Larus marinus
1204,Barbary Partridge,Alectoris barbara
3038,White-spectacled Bulbul,Pycnonotus xanthopygos
1798,Tawny Owl,Strix aluco
1306,Brant Goose,Branta bernicla
1928,Grey-throated Rail,Canirallus oculeus
1920,Demoiselle Crane,Grus virgo
4184,Asian Golden Weaver,Ploceus hypoxanthus
10021,Hybrid Cut-throat/Red-headed Finch,Amadina fasciata/erythrocephala
2010,European Golden Plover,Pluvialis apricaria
2048,Audouin's Gull,Ichthyaetus audouinii
3422,Dartford Warbler,Curruca undata
2174,Northern Gannet,Morus bassanus
13203,Nothern Rockhopper Penguin,Eudyptes moseleyi
10045,Green White-eye,Zosterops stuhlmanni
14242,Common Reed Warbler,Acrocephalus scirpaceus
10987,WHite-tailed Cisticola,Cisticola  anderseni
2716,Usambara Akalat,Sheppardia montana
