Spp,commonName,scientificName
3102,Long-tailed Cisticola,Cisticola angusticauda
3166,Trilling Cisticola,Cisticola woosnami
2148,Barbary Falcon,Falco pelegrinoides
3828,Quailfinch (Black-chinned),Ortygospiza atricollis gabonensis
3676,Tsavo Sunbird,Cinnyris tsavoensis
2294,Iberian Grey Shrike,Lanius meridionalis
2896,White-bibbed Swallow,Hirundo nigrita
45,Masked Booby,Sula dactylatra
303,Brown Noddy,Anous stolidus
2190,Western Reef Heron,Egretta gularis
957,Common Snipe,Gallinago gallinago
2500,Doherty's Bushshrike,Telophorus dohertyi
1028,Red-throated Pipit,Anthus cervinus
1584,Blue-breasted Bee-eater,Merops variegatus
3882,Katanga Masked  Weaver,Ploceus katangae
882,Manx Shearwater,Puffinus puffinus
10013,Hybrid Red-eyed/Dark-capped Bulbul,Pycnonotus nigricans/tricolor
1125,Yellow-bellied Wattle-eye,Platysteira concreta
1133,Grey-chested  Babbler,Kakamega poliothorax
1730,Black-billed Turaco,Tauraco schuettii
2566,White-crowned Robin-Chat,Cossypha albicapillus
2952,Kakamega Greenbul,Arizelocichla kakamegae
3292,Mountain Illadopsis,Illadopsis pyrrhoptera
3626,Orange-tufted Sunbird,Cinnyris bouvieri
1063,Swamp Flycatcher,Muscicapa aquatica
1065,Slender-billed Weaver,Ploceus pelzelni
3638,Red-chested Sunbird,Cinnyris erythrocercus
3904,Northern Brown-throated Weaver,Ploceus castanops
3528,White-tailed Lark,Mirafra albicauda
3524,Somali Rufous-naped Lark,Mirafra sharpii
1113,Honeyguide Greenbul,Baeopogon indicator
1128,Dusky Crested Flycatcher,Elminia nigromitrata
1132,Least Honeyguide,Indicator exilis
2820,Abbott's Starling,Poeoptera femoralis
3108,Aberdare Cisticola,Cisticola aberdare
1064,White-winged Swamp Warbler,Bradypterus carpalis
1510,Abyssinian Ground  Hornbill,Bucorvus abyssinicus
2438,Papyrus Gonolek,Laniarius mufumbiri
3750,Black Bishop,Euplectes gierowii
3838,Swainson's Sparrow,Passer swainsonii
1628,Blue-headed Coucal,Centropus monachus
1428,Black-billed Barbet,Lybius guifsobalito
1274,Eurasian Teal,Anas crecca
1280,Eurasian Wigeon,Mareca penelope
3824,White-breasted Nigrita,Nigrita fusconotus
